,Result,Category
1294,White Win,12
1295,Black Win,7
1296,Black Win,6
1297,Black Win,9
1298,White Win,20
1299,Black Win,2
1300,Black Win,10
1301,White Win,18
1302,Black Win,11
1303,Black Win,9
1304,Black Win,11
1305,White Win,17
1306,White Win,17
1307,White Win,11
1308,Black Win,13
1309,White Win,13
1310,Black Win,6
1311,Black Win,9
1312,Draw,15
1313,Black Win,11
1314,White Win,3
1315,Black Win,10
1316,White Win,16
1317,Black Win,9
1318,White Win,8
1319,White Win,15
1320,White Win,9
1321,White Win,14
1322,Black Win,10
1323,White Win,11
1324,Black Win,1
1325,Black Win,10
1326,Draw,11
1327,Black Win,11
1328,White Win,10
1329,White Win,9
1330,Black Win,10
1331,Black Win,1
1332,White Win,10
1333,White Win,3
1334,Black Win,10
1335,Black Win,9
1336,Black Win,11
1337,Black Win,8
1338,Black Win,8
1339,White Win,16
1340,Black Win,8
1341,Black Win,8
1342,White Win,12
1343,White Win,12
1344,White Win,10
1345,Black Win,0
1346,White Win,9
1347,White Win,9
1348,Black Win,9
1349,White Win,7
1350,Black Win,3
1351,White Win,2
1352,White Win,10
1353,Black Win,7
1354,Black Win,9
1355,White Win,17
1356,Black Win,5
1357,White Win,18
1358,White Win,16
1359,White Win,15
1360,Black Win,0
1361,Black Win,7
1362,White Win,7
1363,Black Win,10
1364,White Win,8
1365,Black Win,8
1366,White Win,8
1367,White Win,9
1368,Black Win,5
1369,Black Win,14
1370,White Win,15
1371,White Win,10
1372,Black Win,4
1373,White Win,15
1374,Black Win,11
1375,White Win,10
1376,Black Win,9
1377,Black Win,9
1378,Black Win,8
1379,Black Win,2
1380,Black Win,7
1381,Black Win,8
1382,White Win,14
1383,Black Win,7
1384,Black Win,10
1385,Black Win,13
1386,Black Win,11
1387,White Win,11
1388,White Win,11
1389,White Win,9
1390,White Win,9
1391,Black Win,7
1392,White Win,20
1393,Black Win,12
1394,Black Win,16
1395,Black Win,10
1396,Black Win,9
1397,Black Win,9
1398,White Win,9
1399,White Win,9
1400,White Win,10
1401,Draw,14
1402,Black Win,8
1403,White Win,11
1404,White Win,15
1405,White Win,10
1406,Black Win,10
1407,White Win,9
1408,Black Win,1
1409,White Win,13
1410,White Win,8
1411,White Win,12
1412,Black Win,11
1413,Black Win,10
1414,Black Win,0
1415,White Win,11
1416,White Win,17
1417,White Win,8
1418,White Win,4
1419,Black Win,11
1420,Black Win,9
1421,White Win,10
1422,Black Win,10
1423,Black Win,9
1424,White Win,1
1425,Black Win,7
1426,Black Win,7
1427,White Win,10
1428,Black Win,8
1429,Black Win,7
1430,Black Win,10
1431,White Win,9
1432,Black Win,11
1433,White Win,15
1434,Black Win,11
1435,Black Win,8
1436,White Win,11
1437,White Win,10
1438,White Win,9
1439,Black Win,4
1440,Black Win,8
1441,White Win,7
1442,Black Win,10
1443,White Win,10
1444,Black Win,9
1445,White Win,11
1446,Black Win,8
1447,Black Win,2
1448,White Win,8
1449,White Win,7
1450,White Win,11
1451,White Win,7
1452,Black Win,8
1453,White Win,7
1454,Black Win,10
1455,Black Win,5
1456,Black Win,11
1457,Black Win,7
1458,White Win,9
1459,Black Win,10
1460,White Win,11
1461,White Win,11
1462,Draw,20
1463,White Win,17
1464,Black Win,10
1465,White Win,14
1466,White Win,7
1467,Black Win,10
1468,White Win,4
1469,White Win,13
1470,White Win,20
1471,Black Win,11
1472,Black Win,7
1473,Black Win,10
1474,Black Win,12
1475,White Win,5
1476,White Win,9
1477,Black Win,5
1478,White Win,9
1479,Black Win,9
1480,Black Win,8
1481,Black Win,0
1482,Black Win,1
1483,Black Win,6
1484,Black Win,2
1485,White Win,10
1486,White Win,0
1487,Black Win,10
1488,White Win,7
1489,White Win,9
1490,Black Win,10
1491,White Win,11
1492,White Win,8
1493,White Win,10
1494,White Win,7
1495,Draw,7
1496,White Win,9
1497,White Win,14
1498,White Win,18
1499,Black Win,3
1500,Black Win,10
1501,White Win,14
1502,Draw,13
1503,Black Win,9
1504,White Win,12
1505,White Win,11
1506,White Win,9
1507,Black Win,7
1508,Black Win,11
1509,White Win,9
1510,White Win,13
1511,Draw,7
1512,Black Win,8
1513,Black Win,12
1514,White Win,10
1515,Black Win,10
1516,Black Win,8
1517,Black Win,10
1518,White Win,9
1519,White Win,9
1520,Black Win,7
1521,White Win,17
1522,Black Win,13
1523,Black Win,9
1524,White Win,1
1525,White Win,10
1526,White Win,11
1527,White Win,9
1528,White Win,10
1529,Black Win,2
1530,White Win,7
1531,Black Win,8
1532,White Win,11
1533,White Win,10
1534,Black Win,8
1535,White Win,9
1536,Black Win,6
1537,White Win,4
1538,White Win,9
1539,White Win,11
1540,Black Win,13
1541,Black Win,12
1542,White Win,13
1543,White Win,18
1544,Draw,14
1545,White Win,9
1546,Black Win,11
1547,Black Win,10
1548,White Win,19
1549,White Win,8
1550,White Win,10
1551,White Win,11
1552,White Win,9
1553,White Win,14
1554,White Win,20
1555,White Win,11
1556,White Win,9
1557,Black Win,11
1558,Black Win,14
1559,White Win,11
1560,Black Win,9
1561,Black Win,11
1562,Black Win,7
1563,Black Win,5
1564,Black Win,11
1565,Black Win,5
1566,White Win,11
1567,White Win,9
1568,Black Win,1
1569,Black Win,9
1570,Black Win,6
1571,Black Win,10
1572,Black Win,7
1573,Black Win,10
1574,White Win,11
1575,Black Win,10
1576,White Win,10
1577,White Win,17
1578,Black Win,10
